油位高度(mm),理论储油量(L)
0,0.0
10,3.909
20,10.984
30,20.045
40,30.652
50,42.543
60,55.533
70,69.483
80,84.279
90,99.828
100,116.049
110,132.869
120,150.226
130,168.062
140,186.321
150,204.955
160,223.917
170,243.162
180,262.648
190,282.333
200,302.178
210,322.143
220,342.192
230,362.285
240,382.386
250,402.457
260,422.461
270,442.36
280,462.115
290,481.687
300,501.035
310,520.117
320,538.891
330,557.309
340,575.323
350,592.882
360,609.929
370,626.402
380,642.234
390,657.348
400,671.655
410,685.052
420,697.41
430,708.566
440,718.297
450,726.254
460,731.745
470,732.766
